num,max_rpm1,max_rpm2,dampRateFullT1,dampRateFullT2,dampRateZero_CE1,dampRateZero_CE2,dampRateZero_CD1,dampRateZero_CD2,gearSwitchTime1,gearSwitchTime2,clutchStrength1,clutchStrength2,mass1,mass2,dragCoeff1,dragCoeff2,tireFric1,tireFric2,dampRate1,dampRate2,radius1,radius2,maxBrakeTorque1,maxBrakeTorque2,Signal,converage
2,5547.469,5860.78,0.137,0.165,1.805,2.403,0.329,0.374,0.473,0.557,9.665,10.26,2326.006,2436.386,0.264,0.339,3.284,3.715,0.242,0.258,35.257,35.743,1488.373,1517.697,5, True
4,5742.077,5912.389,0.142,0.158,1.855,2.144,0.333,0.373,0.47,0.561,9.815,10.357,2299.95,2434.492,0.272,0.341,3.206,3.621,0.239,0.261,34.828,35.938,1445.079,1510.186,5, True
1,5753.563,5845.713,0.142,0.158,1.89,2.12,0.333,0.368,0.475,0.555,9.335,10.241,2382.245,2417.838,0.275,0.326,3.385,3.618,0.242,0.258,34.942,35.909,1490.974,1511.442,2, True
2,5674.478,5913.956,0.131,0.168,1.812,2.454,0.322,0.366,0.474,0.553,9.589,10.512,2357.67,2417.649,0.274,0.329,3.268,3.692,0.233,0.264,34.453,35.746,1484.307,1509.348,5, True
2,5726.884,6015.563,0.138,0.159,1.809,2.147,0.317,0.372,0.468,0.545,9.823,10.362,2379.382,2436.656,0.264,0.327,3.364,3.669,0.234,0.258,35.036,35.776,1481.342,1537.347,5, True
1,5686.18,5924.974,0.14,0.165,1.896,2.096,0.326,0.372,0.475,0.549,9.478,10.392,2390.734,2420.192,0.272,0.329,3.375,3.633,0.232,0.261,35.261,35.986,1481.966,1519.919,3, True
1,5686.18,5924.974,0.14,0.165,1.896,2.096,0.326,0.372,0.475,0.549,9.478,10.392,2390.734,2420.192,0.272,0.329,3.375,3.633,0.232,0.261,35.261,35.986,1481.966,1519.919,5, True
1,5729.304,5875.893,0.133,0.167,1.836,2.235,0.295,0.376,0.475,0.567,9.488,10.406,2308.806,2433.516,0.273,0.34,2.978,3.664,0.236,0.27,34.353,35.866,1452.635,1511.117,5, True
4,5572.051,5983.358,0.141,0.16,1.84,2.3,0.306,0.38,0.475,0.532,9.834,10.381,2352.079,2480.665,0.276,0.325,2.894,3.696,0.238,0.267,34.756,35.762,1482.055,1521.617,5, True
1,5741.372,5883.742,0.137,0.162,1.793,2.293,0.33,0.366,0.476,0.532,9.807,10.338,2387.638,2430.863,0.275,0.335,3.239,3.715,0.238,0.258,35.066,35.747,1434.18,1532.652,5, True
